Team,xG,Goals,Home/Away,Game
C Palace,0.81,1,Away,Liverpool 1-1 C Palace
Chelsea,1.87,2,Home,Chelsea 2-2 Tottenham
Tottenham,1.57,2,Away,Chelsea 2-2 Tottenham
N Forest,1.88,1,Home,N Forest 1-0 West Ham
West Ham,2.69,0,Away,N Forest 1-0 West Ham
Brentford,2.06,4,Home,Brentford 4-0 Man Utd
Man Utd,0.68,0,Away,Brentford 4-0 Man Utd
Wolves,0.89,0,Home,Wolves 0-0 Fulham
Fulham,1.46,0,Away,Wolves 0-0 Fulham
Southampton,1.30,2,Home,Southampton 2-2 Leeds
Leeds,1.94,2,Away,Southampton 2-2 Leeds
Arsenal,3.10,4,Home,Arsenal 4-2 Leicester
Leicester,0.57,2,Away,Arsenal 4-2 Leicester
Man City,1.62,4,Home,Man City 4-0 Bournemouth
Bournemouth,0.14,0,Away,Man City 4-0 Bournemouth
Brighton,1.55,0,Home,Brighton 0-0 Newcastle
Newcastle,0.18,0,Away,Brighton 0-0 Newcastle
Aston Villa,2.53,2,Home,Aston Villa 2-1 Everton
Everton,1.62,1,Away,Aston Villa 2-1 Everton
Haaland,1.59,2,Home,Haaland 2-0 Everyone else
Everyone else,0.56,0,Away,Haaland 2-0 Everyone else
West Ham,0.34,0,Home,West Ham 0-2 Man City
Man City,1.81,2,Away,West Ham 0-2 Man City
Leicester,0.63,2,Home,Leicester 2-2 Brentford
Brentford,0.93,2,Away,Leicester 2-2 Brentford
Man Utd,1.20,1,Home,Man Utd 1-2 Brighton
Brighton,1.65,2,Away,Man Utd 1-2 Brighton
Everton,0.54,0,Home,Everton 0-1 Chelsea
Chelsea,2.12,1,Away,Everton 0-1 Chelsea
Bournemouth,0.51,2,Home,Bournemouth 2-0 Aston Villa
Aston Villa,0.61,0,Away,Bournemouth 2-0 Aston Villa
Newcastle,1.53,2,Home,Newcastle 2-0 N Forest
N Forest,0.30,0,Away,Newcastle 2-0 N Forest
Spurs,2.03,4,Home,Spurs 4-1 Southampton
Southampton,0.48,1,Away,Spurs 4-1 Southampton
Fulham,1.35,2,Home,Fulham 2-2 Liverpool
Liverpool,2.39,2,Away,Fulham 2-2 Liverpool
Crystal Palace,1.23,0,Home,Crystal Palace 0-2 Arsenal
Arsenal,1.46,2,Away,Crystal Palace 0-2 Arsenal
Liverpool,2.25,3,Home,Liverpool 3-1 Man City
Man City,3.01,1,Away,Liverpool 3-1 Man City
England,2.41,4,Home,England 4-0 Sweden
Sweden,1.58,0,Away,England 4-0 Sweden
N Ireland,0.52,0,Home,N Ireland 0-5 England
England,3.81,5,Away,N Ireland 0-5 England
England,6.56,8,Home,England 8-0 Norway
Norway,0.27,0,Away,England 8-0 Norway
Wales,0.68,1,Home,Wales 1-0 Ukraine
Ukraine,2.10,0,Away,Wales 1-0 Ukraine
Scotland,1.52,1,Home,Scotland 1-3 Ukraine
Ukraine,1.90,3,Away,Scotland 1-3 Ukraine
Huddersfield,0.31,0,Home,Huddersfield 0-1 N Forest
N Forest,0.60,1,Away,Huddersfield 0-1 N Forest
Liverpool,2.19,0,Home,Liverpool 0-1 Real Madrid
Real Madrid,0.92,1,Away,Liverpool 0-1 Real Madrid
Brentford,0.96,1,Home,Brentford 1-2 Leeds
Leeds,1.46,2,Away,Brentford 1-2 Leeds
Liverpool,3.12,3,Home,Liverpool 3-1 Wolves
Wolves,1.20,1,Away,Liverpool 3-1 Wolves
Man City,3.61,3,Home,Man City 3-2 Aston Villa
Aston Villa,0.25,2,Away,Man City 3-2 Aston Villa
Arsenal,4.24,5,Home,Arsenal 5-1 Everton
Everton,1.14,1,Away,Arsenal 5-1 Everton
Norwich,0.57,0,Home,Norwich 0-5 Tottenham
Tottenham,3.05,5,Away,Norwich 0-5 Tottenham
Chelsea,2.63,2,Home,Chelsea 2-1 Watford
Watford,0.70,1,Away,Chelsea 2-1 Watford
Aston Villa,1.31,1,Home,Aston Villa 1-1 Burnley
Burnley,1.77,1,Away,Aston Villa 1-1 Burnley
Chelsea,1.68,1,Home,Chelsea 1-1 Leicester
Leicester,0.08,1,Away,Chelsea 1-1 Leicester
Everton,0.91,3,Home,Everton 3-2 Crystal Palace
Crystal Palace,1.51,2,Away,Everton 3-2 Crystal Palace
Southampton,0.11,1,Home,Southampton 1-2 Liverpool
Liverpool,1.17,2,Away,Southampton 1-2 Liverpool
Newcastle,1.58,2,Home,Newcastle 2-0 Arsenal
Arsenal,0.42,0,Away,Newcastle 2-0 Arsenal
Everton,2.20,2,Home,Everton 2-3 Brentford
Brentford,2.03,3,Away,Everton 2-3 Brentford
Aston Villa,0.83,1,Home,Aston Villa 1-1 C Palace
C Palace,1.70,1,Away,Aston Villa 1-1 C Palace
Watford,2.47,1,Home,Watford 1-5 Leicester
Leicester,2.32,5,Away,Watford 1-5 Leicester
West Ham,1.56,2,Home,West Ham 2-2 Man City
Man City,2.49,2,Away,West Ham 2-2 Man City
Tottenham,2.42,1,Home,Tottenham 1-0 Burnley
Burnley,0.68,0,Away,Tottenham 1-0 Burnley
Tottenham,3.01,3,Home,Tottenham 3-0 Arsenal
Arsenal,0.48,0,Away,Tottenham 3-0 Arsenal
Wolves,0.52,1,Home,Wolves 1-4 De Bruyne
De Bruyne,0.83,4,Away,Wolves 1-4 De Bruyne
Wolves,0.52,1,Home,Wolves 1-5 Man City
Man City,3.25,5,Away,Wolves 1-5 Man City
Leicester,2.47,3,Home,Leicester 3-0 Norwich
Norwich,1.40,0,Away,Leicester 3-0 Norwich
Watford,0.25,0,Home,Watford 0-0 Everton
Everton,1.07,0,Away,Watford 0-0 Everton
Leeds,0.49,0,Home,Leeds 0-3 Chelsea
Chelsea,1.41,3,Away,Leeds 0-3 Chelsea
Aston Villa,1.83,1,Home,Aston Villa 1-2 Liverpool
Liverpool,1.98,2,Away,Aston Villa 1-2 Liverpool
Man City,3.92,5,Home,Man City 5-0 Newcastle
Newcastle,0.90,0,Away,Man City 5-0 Newcastle
Arsenal,2.85,2,Home,Arsenal 2-1 Leeds
Leeds,0.51,1,Away,Arsenal 2-1 Leeds
Leicester,1.74,1,Home,Leicester 1-2 Everton
Everton,1.84,2,Away,Leicester 1-2 Everton
Norwich,0.26,0,Home,Norwich 0-4 West Ham
West Ham,3.33,4,Away,Norwich 0-4 West Ham
Liverpool,1.34,1,Home,Liverpool 1-1 Tottenham
Tottenham,1.08,1,Away,Liverpool 1-1 Tottenham
Brighton,2.13,4,Home,Brighton 4-0 Man Utd
Man Utd,0.80,0,Away,Brighton 4-0 Man Utd
C Palace,2.21,1,Home,C Palace 1-0 Watford
Watford,0.44,0,Away,C Palace 1-0 Watford
Chelsea,1.92,2,Home,Chelsea 2-2 Wolves
Wolves,1.73,2,Away,Chelsea 2-2 Wolves
Burnley,1.15,1,Home,Burnley 1-3 Aston Villa
Aston Villa,1.48,3,Away,Burnley 1-3 Aston Villa
Brentford,3.11,3,Home,Brentford 3-0 Southampton
Southampton,1.01,0,Away,Brentford 3-0 Southampton
Real Madrid,1.71,2,Home,Real Madrid 2-1 Man City
Man City,0.98,1,Away,Real Madrid 2-1 Man City
Villarreal,1.21,2,Home,Villarreal 2-3 Liverpool
Liverpool,1.83,3,Away,Villarreal 2-3 Liverpool
B’mouth,0.54,1,Home,B’mouth 1-0 Notts Forest
Notts Forest,1.19,0,Away,B’mouth 1-0 Notts Forest
Man Utd,1.64,3,Home,Man Utd 3-0 Brentford
Brentford,0.54,0,Away,Man Utd 3-0 Brentford
Fulham,2.70,7,Home,Fulham 7-0 Luton
Luton,0.17,0,Away,Fulham 7-0 Luton
West Ham,0.46,1,Home,West Ham 1-2 Arsenal
Arsenal,0.98,2,Away,West Ham 1-2 Arsenal
Everton,1.09,1,Home,Everton 1-0 Chelsea
Chelsea,1.39,0,Away,Everton 1-0 Chelsea
Tottenham,1.62,3,Home,Tottenham 3-1 Leicester
Leicester,0.37,1,Away,Tottenham 3-1 Leicester
Leeds,1.10,0,Home,Leeds 0-4 Man City
Man City,2.50,4,Away,Leeds 0-4 Man City
Wolves,0.44,0,Home,Wolves 0-3 Brighton
Brighton,2.80,3,Away,Wolves 0-3 Brighton
Watford,1.12,1,Home,Watford 1-2 Burnley
Burnley,1.83,2,Away,Watford 1-2 Burnley
Newcastle,0.17,0,Home,Newcastle 0-1 Liverpool
Liverpool,2.12,1,Away,Newcastle 0-1 Liverpool
Man Utd,0.42,1,Home,Man Utd 1-1 Chelsea
Chelsea,2.09,1,Away,Man Utd 1-1 Chelsea
Liverpool,1.71,2,Home,Liverpool 2-0 Villarreal
Villarreal,0.08,0,Away,Liverpool 2-0 Villarreal
Man City,3.08,4,Home,Man City 4-3 Real Madrid
Real Madrid,1.66,3,Away,Man City 4-3 Real Madrid
Crystal Palace,1.83,0,Home,Crystal Palace 0-0 Leeds
Leeds,0.56,0,Away,Crystal Palace 0-0 Leeds
Liverpool,1.89,2,Home,Liverpool 2-0 Everton
Everton,0.49,0,Away,Liverpool 2-0 Everton
Brighton,1.76,2,Home,Brighton 2-2 Southampton
Southampton,0.96,2,Away,Brighton 2-2 Southampton
Chelsea,2.60,1,Home,Chelsea 1-0 West Ham
West Ham,0.46,0,Away,Chelsea 1-0 West Ham
Burnley,1.15,1,Home,Burnley 1-0 Wolves
Wolves,0.57,0,Away,Burnley 1-0 Wolves
Brentford,1.05,0,Home,Brentford 0-0 Spurs
Spurs,0.71,0,Away,Brentford 0-0 Spurs
Gabriel Jesus,2.21,4,Home,Gabriel Jesus 4-1 Watford
Watford,0.33,1,Away,Gabriel Jesus 4-1 Watford
Leicester,0.24,0,Home,Leicester 0-0 Aston Villa
Aston Villa,0.76,0,Away,Leicester 0-0 Aston Villa
Man City,3.52,5,Home,Man City 5-1 Watford
Watford,0.33,1,Away,Man City 5-1 Watford
Norwich,0.44,0,Home,Norwich 0-3 Newcastle
Newcastle,1.70,3,Away,Norwich 0-3 Newcastle
Arsenal,2.81,3,Home,Arsenal 3-1 Man Utd
Man Utd,1.98,1,Away,Arsenal 3-1 Man Utd
Burnley,2.35,2,Home,Burnley 2-0 Southampton
Southampton,1.39,0,Away,Burnley 2-0 Southampton
Man City,1.49,3,Home,Man City 3-0 Brighton
Brighton,0.17,0,Away,Man City 3-0 Brighton
Everton,1.90,1,Home,Everton 1-1 Leicester
Leicester,0.94,1,Away,Everton 1-1 Leicester
Chelsea,0.71,2,Home,Chelsea 2-4 Arsenal
Arsenal,1.89,4,Away,Chelsea 2-4 Arsenal
Newcastle,0.77,1,Home,Newcastle 1-0 C Palace
C Palace,0.68,0,Away,Newcastle 1-0 C Palace
Liverpool,2.09,4,Home,Liverpool 4-0 Man Utd
Man Utd,0.09,0,Away,Liverpool 4-0 Man Utd
West Ham,2.87,1,Home,West Ham 1-1 Burnley
Burnley,1.95,1,Away,West Ham 1-1 Burnley
Newcastle,2.13,2,Home,Newcastle 2-1 Leicester
Leicester,0.62,1,Away,Newcastle 2-1 Leicester
Ronaldo,0.78,3,Home,Ronaldo 3-2 Norwich
Norwich,1.55,2,Away,Ronaldo 3-2 Norwich
Man Utd,1.46,3,Home,Man Utd 3-2 Norwich
Norwich,1.55,2,Away,Man Utd 3-2 Norwich
Southampton,0.65,1,Home,Southampton 1-0 Arsenal
Arsenal,1.72,0,Away,Southampton 1-0 Arsenal
Watford,1.79,1,Home,Watford 1-2 Brentford
Brentford,1.83,2,Away,Watford 1-2 Brentford
Spurs,0.52,0,Home,Spurs 0-1 Brighton
Brighton,0.92,1,Away,Spurs 0-1 Brighton
Atletico,0.83,0,Home,Atletico 0-0 Man City
Man City,0.84,0,Away,Atletico 0-0 Man City
Liverpool,1.90,3,Home,Liverpool 3-3 Benfica
Benfica,1.01,3,Away,Liverpool 3-3 Benfica
Bayern,1.51,1,Home,Bayern 1-1 Villarreal
Villarreal,0.76,1,Away,Bayern 1-1 Villarreal
Man City,1.31,2,Home,Man City 2-2 Liverpool
Liverpool,1.14,2,Away,Man City 2-2 Liverpool
Norwich,1.64,2,Home,Norwich 2-0 Burnley
Burnley,1.67,0,Away,Norwich 2-0 Burnley
Leicester,1.29,2,Home,Leicester 2-1 C Palace
C Palace,1.48,1,Away,Leicester 2-1 C Palace
Brentford,1.80,2,Home,Brentford 2-0 West Ham
West Ham,0.34,0,Away,Brentford 2-0 West Ham
Aston Villa,1.66,0,Home,Aston Villa 0-3 Son
Son,0.56,3,Away,Aston Villa 0-3 Son
Aston Villa,1.66,0,Home,Aston Villa 0-4 Tottenham
Tottenham,0.88,4,Away,Aston Villa 0-4 Tottenham
Arsenal,2.27,1,Home,Arsenal 1-2 Brighton
Brighton,0.74,2,Away,Arsenal 1-2 Brighton
Watford,0.89,0,Home,Watford 0-3 Leeds
Leeds,0.79,3,Away,Watford 0-3 Leeds
Southampton,0.65,0,Home,Southampton 0-6 Chelsea
Chelsea,4.31,6,Away,Southampton 0-6 Chelsea
Everton,0.39,1,Home,Everton 1-0 Man Utd
Man Utd,0.92,0,Away,Everton 1-0 Man Utd
Newcastle,1.67,1,Home,Newcastle 1-0 Wolves
Wolves,0.26,0,Away,Newcastle 1-0 Wolves
Villarreal,1.58,1,Home,Villarreal 1-0 Bayern
Bayern,1.20,0,Away,Villarreal 1-0 Bayern
Chelsea,1.64,1,Home,Chelsea 1-3 Benzema
Benzema,1.03,3,Away,Chelsea 1-3 Benzema
Chelsea,1.64,1,Home,Chelsea 1-3 Real Madrid
Real Madrid,1.31,3,Away,Chelsea 1-3 Real Madrid
Burnley,1.82,3,Home,Burnley 3-2 Everton
Everton,2.59,2,Away,Burnley 3-2 Everton
Benfica,0.98,1,Home,Benfica 1-3 Liverpool
Liverpool,3.32,3,Away,Benfica 1-3 Liverpool
Man City,0.94,1,Home,Man City 1-0 Atletico
Atletico,0.07,0,Away,Man City 1-0 Atletico
C Palace,1.78,3,Home,C Palace 3-0 Arsenal
Arsenal,0.88,0,Away,C Palace 3-0 Arsenal
Tottenham,3.36,5,Home,Tottenham 5-1 Newcastle
Newcastle,0.62,1,Away,Tottenham 5-1 Newcastle
West Ham,1.89,2,Home,West Ham 2-1 Everton
Everton,0.52,1,Away,West Ham 2-1 Everton
Man Utd,1.00,1,Home,Man Utd 1-1 Leicester
Leicester,1.26,1,Away,Man Utd 1-1 Leicester
Brighton,2.63,0,Home,Brighton 0-0 Norwich
Norwich,0.48,0,Away,Brighton 0-0 Norwich
Wolves,1.60,2,Home,Wolves 2-1 Aston Villa
Aston Villa,1.84,1,Away,Wolves 2-1 Aston Villa
Chelsea,1.42,1,Home,Chelsea 1-4 Brentford
Brentford,2.48,4,Away,Chelsea 1-4 Brentford
Leeds,1.61,1,Home,Leeds 1-1 Southampton
Southampton,1.57,1,Away,Leeds 1-1 Southampton
Burnley,0.12,0,Home,Burnley 0-2 Man City
Man City,1.86,2,Away,Burnley 0-2 Man City
Liverpool,2.35,2,Home,Liverpool 2-0 Watford
Watford,0.68,0,Away,Liverpool 2-0 Watford
Gareth Bale,0.24,2,Home,Gareth Bale 2-1 Austria
Austria,0.97,1,Away,Gareth Bale 2-1 Austria
Wales,1.24,2,Home,Wales 2-1 Austria
Austria,0.97,1,Away,Wales 2-1 Austria
Tottenham,2.77,3,Home,Tottenham 3-1 West Ham
West Ham,0.71,1,Away,Tottenham 3-1 West Ham
Leicester,0.99,2,Home,Leicester 2-1 Brentford
Brentford,1.73,1,Away,Leicester 2-1 Brentford
Aston Villa,0.27,0,Home,Aston Villa 0-1 Arsenal
Arsenal,1.37,1,Away,Aston Villa 0-1 Arsenal
Wolves,1.04,2,Home,Wolves 2-3 Leeds
Leeds,2.96,3,Away,Wolves 2-3 Leeds
West Ham,2.71,2,Home,West Ham 2-0 Sevilla
Sevilla,1.06,0,Away,West Ham 2-0 Sevilla
Everton,0.67,1,Home,Everton 1-0 Newcastle
Newcastle,1.04,0,Away,Everton 1-0 Newcastle
Arsenal,0.67,0,Home,Arsenal 0-2 Liverpool
Liverpool,1.02,2,Away,Arsenal 0-2 Liverpool
Lille,1.42,1,Home,Lille 1-2 Chelsea
Chelsea,0.76,2,Away,Lille 1-2 Chelsea
Juventus,1.49,0,Home,Juventus 0-3 Villarreal
Villarreal,2.58,3,Away,Juventus 0-3 Villarreal
